"FIPS","totpop","age","race","education","maritalstatus","employed","medhouseincome","rentpincome","householdsize","healthins","gini","household"
22005030401,4967,88.71,73.4,9.83,47.94,92.52,53720,1.53760238272524,2.8,78.68,0.3806,45.03
22005030402,6642,86.03,48.77,20.16,40.22,90.25,47846,2.26560214019981,2.64,75.05,0.4608,39.25
22005030500,9062,90.2,90.75,14.76,59.22,89.59,57023,1.28895358013433,2.85,90.39,0.4146,64.3
22005030600,5142,92.71,68.63,12.21,42.71,93.63,48042,1.67561716831106,2.87,75.73,0.4591,41.43
22005030900,4753,88.95,30.59,9.65,35.3,88.43,28617,1.74022434217423,2.87,80.56,0.4675,33.25
22005031000,6378,84.89,32.28,14.71,38.08,94.23,42895,1.30318218906632,2.57,86.43,0.42,39.97
22007050100,3568,86.6,56.39,6.59,53.62,90.76,31680,1.56881313131313,2.69,85.06,0.5278,46.3
22007050200,5445,83.09,98.79,5.67,61.41,89.42,47261,1.32879118088911,2.32,85.82,0.4043,61.9
22007050300,3731,82.39,46.42,12.5,49.98,87.23,37384,1.72266210143377,2.71,84.48,0.4206,51.87
22007050400,3510,88.72,59.09,14.93,43.69,87.51,58705,0.965846180052806,2.76,90.54,0.4607,48.28
22007050500,3225,91.35,38.91,7.17,39.57,93.81,48526,1.13547376664056,3.17,83.91,0.4192,47.83
22007050600,3842,87.51,85.63,8.78,58.43,88.22,47798,0.874513577973974,2.67,83.21,0.4027,58.94
22009030100,2709,85.38,95.68,8.72,45.47,77.98,32393,1.43240823634736,2.48,84.9,0.441,42.25
22009030200,2570,84.24,98.09,9.68,63.45,94.1,48801,1.3708735476732,2.65,80.41,0.548,62.35
22009030300,3419,86.6,81.19,11.07,58.6,88.08,28788,2.32735862164791,2.53,83.36,0.4398,57.85
22009030400,7356,83.92,53.59,13.74,40.32,91.83,36172,1.614508459582,2.36,81.28,0.4678,41.08
22009030500,6422,82.81,72.08,7.29,58.66,90.28,31259,1.74029879394734,2.27,81.74,0.4589,53.68
22009030600,5550,85.15,53.17,10.01,42.56,88.77,33064,1.8086135978708,2.42,82.62,0.4805,39.25
22009030700,8132,89.6,53.07,8.18,35.26,93.63,36324,1.70135447637925,2.75,84.78,0.4711,48.38
22009030800,2891,86.68,96.71,8.99,57.4,92.97,41935,1.20424466436151,2.47,85.37,0.4517,55.16
22009030900,2876,85.36,60.57,6.41,39.06,84.25,33036,1.07155830003632,2.62,80.46,0.471,41.32
22011960100,5888,87.84,95.53,13.71,63.57,93.03,45852,1.45031841577249,2.7,82.84,0.4329,61.64
22011960200,4455,86.35,89.52,13.53,62,93.18,47850,1.25809822361546,2.55,84.27,0.382,61.53
22011960300,4438,87.27,54.51,17.22,50.16,94.26,39764,1.62961472688864,2.58,82.56,0.4595,45.21
22011960400,3295,85.61,67.68,16.05,47.03,91.17,41373,1.77893795470476,2.63,80.45,0.4501,48.98
22011960500,5281,85.29,76.5,28.05,51.76,91.68,49063,1.1903063408271,2.63,86.55,0.4366,50.25
22011960600,3034,81.77,91.43,7.13,60.73,88.75,43696,0.746063712925668,2.34,78.4,0.4203,56.19
22011960700,9271,89.82,90.15,13.61,53.9,95.76,49792,1.19095437017995,2.79,81.02,0.4119,64.1
22013970100,3567,79.34,37.2,10.25,36.43,89.24,22168,2.2239263803681,2.32,86.18,0.4966,32.91
22013970200,1589,74.26,34.8,19.35,45.55,87.5,31659,0.960232477336618,2.29,86.28,0.5059,43.42
22013970300,3712,82.27,50.32,7.83,41.1,88.78,30479,1.70281177203977,2.54,85.31,0.4956,37.89
22013970400,2413,86.7,84.04,9.97,54.32,90.53,29485,2.20111921315923,2.56,87.15,0.4604,46.66
22013970500,3031,82.98,70.08,17.14,56.55,93.36,41250,0.80969696969697,2.58,85.55,0.4333,55.11
22015010400,2328,91.67,32.82,2.62,19.45,81.84,35426,2.04087393439846,3.43,70.49,0.3754,25.26
22015010500,4990,83.91,73.03,22.29,43.58,96.13,44675,1.74146614437605,2.41,80.29,0.3905,36.89
22015010601,7527,89.2,41.53,9.95,25.51,90.82,34149,1.92684998096577,2.58,74.77,0.3858,20.99
22015010602,2582,82.46,62.97,19.45,20.42,88.4,28326,2.43592459224741,1.76,73.12,0.424,13.97
22015010701,3775,87.05,63.26,14.85,35.24,92.44,34032,2.0098730606488,1.88,78.72,0.3496,27.52
22015010702,3554,84.61,49.49,16.68,44.95,91.05,41445,2.42248763421402,2.24,82.23,0.3808,40
22015010801,3440,89.45,52.82,14.13,29.18,89.2,31027,2.30766751538982,2.34,74.05,0.5646,24.64
22015010804,7477,89.25,77.38,23.01,56.26,95.89,59912,1.7308719455201,2.62,86.71,0.2897,56.21
22015010805,2974,86.92,54.94,40.43,15.81,95.15,45958,2.41524870533966,1.77,89.62,0.4476,11.14
22015010806,4484,81.24,92.04,16.8,54.97,98.2,63552,1.89923212487412,2.72,92.5,0.3023,53.62
22015010900,2962,100,72.92,33.4,61.6,87.8,39730,2.90208910143468,3.37,98.28,0.4325,83.45
22015011001,7877,90.07,73.96,19.96,55.18,91.4,61344,1.54864371413667,2.96,88.17,0.4058,58.86
22015011002,4670,84.37,88.2,28.85,58.34,96.39,66274,1.30518755469717,2.52,88.44,0.4402,63.91
22015011103,7095,89.64,87.95,25.19,61.11,94.55,80572,0.868788164622946,2.86,90.46,0.3672,67.19
22015011105,6966,87.8,87.58,16.87,53.54,92.81,62554,0.999136745851584,2.81,82.18,0.4115,53.46
22015011106,8646,90.98,82.22,8.96,55.55,92.6,46293,1.16864320739637,2.98,79.8,0.3962,56.35
22015011107,1989,85.57,50.93,13.33,41.38,90.22,40260,1.67163437655241,2.47,72.7,0.4452,37.65
22015011108,11908,89.99,81.11,34.81,67.27,95.4,81942,1.02511532547412,2.96,84.41,0.3819,71.94
22015011109,6917,89.56,87.02,46.35,60.88,98.08,71755,1.30025782175458,2.65,88.65,0.472,57.32
22015011110,7445,86.03,85.49,41.7,53.5,96.38,62000,1.7241935483871,2.24,90.04,0.4708,49.18
22015011200,6069,82.76,67.39,15.41,44.33,88.76,40118,1.51802183558502,2.44,86.08,0.4236,44.58
22015011300,2067,90.66,18.09,6.71,21.7,81.64,16806,3.64155658693324,2.9,75.42,0.4922,19.66
22017020500,3360,93.18,4.79,10.64,11.95,83.44,26124,2.69866789159394,3.23,74.4,0.4273,11.72
22017020600,910,78.24,0.44,8.75,24.62,82.38,10833,2.51084648758423,2.05,92.2,0.4267,17.34
22017020700,1059,84.42,0.76,10.92,9.26,80.67,18401,3.04331286343134,2.11,75.45,0.4,7.58
22017021000,1658,92.7,62.55,23.57,26.66,85.91,37311,1.59202379995176,2.48,70.48,0.5054,26.04
22017021100,3109,86.65,29.04,12.03,22.83,81.76,22275,2.57687991021324,2.08,66.47,0.4443,16.02
22017021200,3963,92.23,72.19,17.97,28.53,86.25,36023,2.12086722371818,2.24,73.55,0.4072,29.92
22017021300,2661,87.19,16.16,12.27,24.77,87.59,28017,1.9880786665239,2.76,81.89,0.4556,23.4
22017021400,2440,85.74,61.15,23.28,34.1,95,48188,1.81165435378102,2.49,79.44,0.3688,32.31
22017021500,2450,91.59,72.08,34.66,36.3,98.58,42203,1.59941236404995,2.34,78.86,0.4646,30.82
22017021600,3918,83.33,84.35,50.26,39.21,98.37,34531,2.16327358026121,1.96,79.39,0.5166,29.89
